Anita kennt jede Zeile , jedes Wort .	Anita kennt jede Zeile , Anita_f kennt_f jedes Wort .
Netzer war großartig , doch eben nur sporadisch .	Netzer war großartig , doch Netzer_f war_f eben nur sporadisch .
Kurz blickt Ursula auf und erzählt :	Kurz blickt Ursula auf und Ursula_s erzählt :
Die Unternehmensleitung verstand und reagierte umgehend .	Die Unternehmensleitung verstand umgehend_bcr und die_f Unternehmensleitung_f reagierte umgehend .
Die Männer waren verletzt , die Frauen nicht .	Die Männer waren verletzt , die Frauen waren_g nicht verletzt_g .
Noch einmal in die Kiste steigen und die Sonne grüßen .	Noch einmal in die Kiste steigen und noch_f die Sonne grüßen .
So läßt er seine Akteure auch singen und tanzen .	So läßt er seine Akteure auch singen und so_f läßt_f er_f seine_f Akteure_f auch_f tanzen .
Die zeitliche Abfolge war nicht geplant , doch passend .	Die zeitliche Abfolge war nicht geplant , doch die_f zeitliche_f Abfolge_f war_f passend .
Die Männer waren an der Front , die Frauen nicht .	Die Männer waren an der Front , die Frauen waren_g nicht an_g der_g Front_g .
Senegal hat 250 Soldaten geschickt , Guinea 400 .	Senegal hat 250 Soldaten geschickt , Guinea hat_g 400 Soldaten_g geschickt_g .
Das ist zwar nicht witzig , aber wenigstens endlich mal richtig .	Das ist zwar nicht witzig , aber das_f ist_f wenigstens endlich mal richtig .
Alles muß man übertreiben und tausendmal sagen .	Alles muß man übertreiben und alles_f muß_f man_f tausendmal sagen .
Inzwischen sind die Gremlins ausgewachsen und gar nicht mehr lieb .	Inzwischen sind die Gremlins ausgewachsen und inzwischen_f sind_f die_f Gremlins_f gar nicht mehr lieb .
Sie bückte sich und hob sie auf .	Sie bückte sich und sie_f hob sie auf .
Ich kann Villen bauen - oder Häuser für Obdachlose .	Ich kann Villen bauen - oder ich_f kann_f Häuser für Obdachlose bauen_g .
Ich bin noch sehr jung , mein Teint strahlend frisch .	Ich bin noch sehr jung , mein Teint bin_g strahlend frisch .
Wahllos wurden Namen vorgelesen und die Häftlinge hingerichtet .	Wahllos wurden Namen vorgelesen und wahllos_f wurden_f die Häftlinge hingerichtet .
Ich liebte die Wissenschaft und haßte sie zugleich .	Ich liebte die Wissenschaft und ich_f haßte sie zugleich .
Dann nickt der Kellner und geht beschwingt seiner Wege .	Dann nickt der Kellner und der_s Kellner_s geht beschwingt seiner Wege .
Kurz überlegt Ulrike und sagt dann in rheinischem Tonfall :	Kurz überlegt Ulrike und Ulrike_s sagt dann in rheinischem Tonfall :
Ich wollte genau das Gegenteil , nämlich Naturwissenschaftlerinnen ermutigen .	Ich wollte genau das Gegenteil ermutigen_g , ich_f wollte_f nämlich Naturwissenschaftlerinnen ermutigen .
Sie könnten auf Mitmenschen überspringen und sie schädigen .	Sie könnten auf Mitmenschen überspringen und sie_f könnten_f sie schädigen .
Der Haarschnitt ist aber deshalb nicht ungefährlicher und somit zu Recht teurer .	Der Haarschnitt ist aber deshalb nicht ungefährlicher und der_f Haarschnitt_f ist_f somit zu Recht teurer .
Sie ist am leichtesten zugänglich und wird am meisten gehört	Sie ist am leichtesten zugänglich und sie_f wird am meisten gehört
Er führt aber nicht nur Putzmittel mit sich , sondern drei Kartons .	Er führt aber nicht nur Putzmittel mit sich , sondern er_f führt_f aber_f nicht_f drei Kartons .
An jedem Fenster bleiben welche stehen und blicken hinaus .	An jedem Fenster bleiben welche stehen und welche_s blicken hinaus .
Ich bin 18 und spiel' in 'ner deutschen Nachmittags-Soap !	Ich bin 18 und ich_f spiel' in 'ner deutschen Nachmittags-Soap !
" Wir hatten eine Absprache , Berufliches und Privates zu trennen . "	" Wir hatten eine Absprache zu_g trennen_g , Berufliches und Privates zu trennen . "
MS- und Krebskranke erhielten dafür 151 , Aids-Kranke 179 Mark zusätzlich .	MS- und Krebskranke erhielten dafür 151 , Aids-Kranke erhielten_g 179 Mark zusätzlich .
Die Jungs haben nicht mal gehupt oder aus dem Fenster gebrüllt .	Die Jungs haben nicht mal gehupt oder die_f Jungs_f haben_f aus dem Fenster gebrüllt .
Heiko Doebler rangiert dann mit Bierdeckeln und fühlt sich wohl .	Heiko Doebler rangiert dann mit Bierdeckeln und Heiko_f Doebler_f fühlt sich wohl .
Er ist Pragmatiker , er will die Ärmel hochkrempeln .	Er ist Pragmatiker hochkrempeln_g , er will die Ärmel hochkrempeln .
Sie weinte und schämte sich , eine Deutsche zu sein .	Sie weinte und schämte sich zu_g sein_g , sie_f weinte_f und_f schämte_f eine Deutsche zu sein .
