Eintragsnummer;Tree;BLEU;BCR;FCR;Gapping;SGF;LCO;NoCCE;"Phenomena simplified (b/f/g/s/k=not-bfgs-coord);""-"" kein Phänomen, gegebenenfalls Satzkoordination(en)";Phenomena Bemerkung;Treebank-Sentence;Reconstructed-Sentence;Gold_1;Gold_2;Gold_3
1;(s101973_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF(NX-OA(NX-KONJ-asm(PIAT-asm keinen)(NN-asm Anfang))(KON und)(NX-KONJ-asn(PIAT-asn kein)(NN-asn Ende)))))($. !));1;0;1;1;0;1;0;fg/k;gf, NP Koord OA;Das hat keinen Anfang und kein Ende !;Das hat keinen Anfang und kein Ende !;Das hat keinen Anfang und das_gf hat_gf kein Ende !;Das hat keinen Anfang und kein Ende !;
2;(s103650_VROOT(SIMPX(VF-3s(NX-ON-nsf(NE-nsf Anita)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis kennt)))(MF(NX-OA(NX-KONJ-asf(PIDAT-asf jede)(NN-asf Zeile))($, ,)(NX-KONJ-asn(PIDAT-asn jedes)(NN-asn Wort)))))($. .));1;0;1;1;0;1;0;fg/k;gf, NP Koord OA;Anita kennt jede Zeile , jedes Wort .;Anita kennt jede Zeile , Anita_f kennt_f jedes Wort .;Anita kennt jede Zeile , Anita_gf kennt_gf jedes Wort .;Anita kennt jede Zeile , jedes Wort .;
3;(s99399_VROOT(SIMPX(VF-3s(NX-ON(NX-KONJ-nsm(NN-nsm Motor))(KON und)(NX-KONJ-nsn(NN-nsn Getriebe))))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis werden)))(MF(ADVX(ADV noch)))(VC-VVPP(VVPP-OV(VVPP untersucht))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Motor und Getriebe werden noch untersucht .;Motor und Getriebe werden noch untersucht .;Motor und Getriebe werden noch untersucht .;;
4;(s103830_VROOT(SIMPX(VF(NX-ON(NX-KONJ(TRUNC Vorder-))(KON und)(NX-KONJ-nsn(NN-nsn Hinterrad))))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MF(ADJX(ADJD unterschiedlich)))(VC-VVPP(VVPP-OV(VVPP belastet))))($. .));1;0;0;0;0;1;0;k;NP Koord;Vorder- und Hinterrad sind unterschiedlich belastet .;Vorder- und Hinterrad sind unterschiedlich belastet .;Vorder- und Hinterrad sind unterschiedlich belastet .;;
5;(s100436_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDS-nsn Dasselbe)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gilt)))(MF(PX(APPR-a für)(NX-HD(NX-KONJ-apm(NN-apm Cameo-Auftritte))(KON und)(NX-KONJ-apm(NN-apm Insiderscherze))))))($. .));1;0;0;0;0;1;0;k;NP Koord Pred;Dasselbe gilt für Cameo-Auftritte und Insiderscherze .;Dasselbe gilt für Cameo-Auftritte und Insiderscherze .;Dasselbe gilt für Cameo-Auftritte und Insiderscherze .;;
6;"(s102894_VROOT($LPar "")(SIMPX(VF-3p(NX-ON(NX-KONJ-npf(NN-npf Sanktionen))(KON und)(NX-KONJ-nsf(NN-nsf Gewalt))))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis bewirken)))(MF(NX-OA-***(ADVX(ADV gar))(PIS-*** nichts))))($RPar ""))";1;0;0;0;0;1;0;k;NP Koord PP;""" Sanktionen und Gewalt bewirken gar nichts """;""" Sanktionen und Gewalt bewirken gar nichts """;""" Sanktionen und Gewalt bewirken gar nichts """;;
7;(s102236_VROOT(SIMPX(VF-3p(NX-ON-npm(PPOSAT-npm Seine)(NN-npm Schwerpunkte)))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MF(NX-PRED(NX-KONJ(TRUNC Portrait-))(KON und)(NX-KONJ-nsf(NN-nsf Industriefotografie)))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Seine Schwerpunkte sind Portrait- und Industriefotografie .;Seine Schwerpunkte sind Portrait- und Industriefotografie .;Seine Schwerpunkte sind Portrait- und Industriefotografie .;;
8;(s99511_VROOT(SIMPX(VF(FKONJ(MF(ADJX(ADJD Statistisch)))(VC-VVINF(VVINF-OV(VVINF belegen)))))(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis kann)))(MF-3s(NX-ON-ns*(PIS-ns* man))(NX-OA-asn(PDS-asn das))(ADVX(PTKNEG nicht))))($. .));1;0;0;0;0;0;1;-;Satz;Statistisch belegen kann man das nicht .;Statistisch belegen kann man das nicht .;Statistisch belegen kann man das nicht .;;
9;(s101499_VROOT(SIMPX(VF-1p(NX-ON-np*1(PPER-np*1 Wir)))(LK-VVFIN-1pis(VVFIN-HD-1pis(VVFIN-1pis unterscheiden)))(MF(ADJX(ADJD gewöhnlich))(PX(APPR-d zwischen)(FX-HD(FX-KONJ(FM mpiasa))(KON und)(FX-KONJ(FM mpamampy))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Wir unterscheiden gewöhnlich zwischen mpiasa und mpamampy .;Wir unterscheiden gewöhnlich zwischen mpiasa und mpamampy .;Wir unterscheiden gewöhnlich zwischen mpiasa und mpamampy .;;
10;(s101386_VROOT(SIMPX(VF-3p(NX-ON-np*3(PPER-np*3 Sie)))(LK-VVFIN-3pit(VVFIN-HD-3pit(VVFIN-3pit verloren)))(MF(NX-OA(NX-KONJ-asf(NN-asf Arbeit))($, ,)(NX-KONJ-asf(NN-asf Wohnung))(KON und)(NX-KONJ-asf(NN-asf Familie)))))($. .));1;0;1;1;0;1;0;fg+fg/k;gf, NP Koord OA;Sie verloren Arbeit , Wohnung und Familie .;Sie verloren Arbeit , Wohnung und Familie .;Sie verloren Arbeit , sie_gf verloren_gf Wohnung und sie_gf verloren_gf Familie .;Sie verloren Arbeit , Wohnung und Familie .;
11;(s100022_VROOT(SIMPX(VF-3s(NX-ON-nsm(NE-nsm Netzer)))(LK-VAFIN-3sit(VAFIN-HD-3sit(VAFIN-3sit war)))(MFFKOORD(MF-KONJ(ADJX(ADJD großartig)))($, ,)(KON doch)(MF-KONJ(ADVX(ADV eben))(ADVX(ADV nur))(ADJX(ADJD sporadisch)))))($. .));0,835205207454817;0;0;1;0;0;0;g?;g exceptional;Netzer war großartig , doch eben nur sporadisch .;Netzer war großartig , doch Netzer_f war_f eben nur sporadisch .;Netzer war großartig , doch Netzer_g war_g  eben nur sporadisch großartig_g .;Netzer war großartig , doch eben nur Netzer_g war_g sporadisch großartig_g .;
12;(s101374_VROOT(SIMPX(VF(PX(ADJX(ADJD Hoch))(APPRART-dsm im)(NX-HD-dsm(NN-dsm Kurs))))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis stehen)))(MF-3s(NX-ON(NX-KONJ-nsf(NN-nsf Kolanuß))(KON und)($D -)(NX-KONJ-nsm(NN-nsm Alkohol)))))($. .));1;0;0;0;0;1;0;k;NP Koord Pred;Hoch im Kurs stehen Kolanuß und - Alkohol .;Hoch im Kurs stehen Kolanuß und - Alkohol .;Hoch im Kurs stehen Kolanuß und - Alkohol .;;
13;(s104066_VROOT(SIMPX(SIMPX-KONJ(VF(ADJX(ADJD Kurz)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis blickt)))(MF-3s(NX-ON-nsf(NE-nsf Ursula)))(VC(PTKVZ auf)))(KON und)(SIMPX-KONJ(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis erzählt)))))($. :));1;0;0;0;1;0;0;s;SGF;Kurz blickt Ursula auf und erzählt :;Kurz blickt Ursula auf und Ursula_s erzählt :;Kurz blickt Ursula auf und Ursula_s erzählt :;;
14;"(s100481_VROOT(SIMPX(VF(PX(APPRART-ds* Am)(NX-HD(NX-KONJ-dsm(NN-dsm Anfang))(KON und)(NX-KONJ-dsn(NN-dsn Ende)))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis steht)))(MF-3s(NX-ON-nsn(ART-nsn das)($LPar "")(NN-nsn Ahhh)($. !)($RPar "")))))";1;0;0;0;0;1;0;k;NP Koord PP;"Am Anfang und Ende steht das "" Ahhh ! """;"Am Anfang und Ende steht das "" Ahhh ! """;"Am Anfang und Ende steht das "" Ahhh ! """;;
15;(s103908_VROOT(SIMPX(VF-3s(NX-ON(NX-KONJ-nsm(NN-nsm Wettbewerb))(KON und)(NX-KONJ-nsf(ADJX-nsf(ADJA-nsf soziale))(NN-nsf Gerechtigkeit))))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis bedingen)))(MF(NX-OA-ap*3(PRF-ap*3 einander))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Wettbewerb und soziale Gerechtigkeit bedingen einander .;Wettbewerb und soziale Gerechtigkeit bedingen einander .;Wettbewerb und soziale Gerechtigkeit bedingen einander .;;
16;(s102592_VROOT(SIMPX(VF-3p(NX-ON-np*(ART-np* Die)(NN-np* Leute)))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis suchen)))(MF(NX-OA(PIAT-*** etwas)(NX-HD(NX-KONJ-asn(NN-asn Freundlicheres))($, ,)(NX-KONJ-asn(NN-asn Natürlicheres))))))($. .));1;0;0;0;0;1;0;k;NP Koord OA;Die Leute suchen etwas Freundlicheres , Natürlicheres .;Die Leute suchen etwas Freundlicheres , Natürlicheres .;Die Leute suchen etwas Freundlicheres , Natürlicheres .;;
17;(s103200_VROOT(SIMPX(VF-3s(NX-ON-nsn3(PPER-nsn3 Es)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-PRED(NX-HD-***(PIS-*** etwas))(PX(APPR-d zwischen)(NX-HD(NX-KONJ-dsn(NN-dsn Leben))(KON und)(NX-KONJ-dsm(NN-dsm Tod)))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Es ist etwas zwischen Leben und Tod .;Es ist etwas zwischen Leben und Tod .;Es ist etwas zwischen Leben und Tod .;;
18;(s100698_VROOT(SIMPXINT(VF-3s(NX-ON-nsn(PWS-nsn Was)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis wird)))(MF(ADVX(ADV nun))(PX(APPR-d aus)(NX-HD(NX-KONJ-dsm(NE-dsm Manni))(KON und)(NX-KONJ-dpm(PPOSAT-dpm seinen)(NN-dpm Kollegen))))))($QM ?));1;0;0;0;0;1;0;k;NP Koord PP;Was wird nun aus Manni und seinen Kollegen ?;Was wird nun aus Manni und seinen Kollegen ?;Was wird nun aus Manni und seinen Kollegen ?;;
19;(s101914_VROOT(SIMPX(VF(PX(APPR-a Für)(NX-HD(NX-KONJ(XY Y))($, ,)(NX-KONJ(XY Ö))(KON und)(NX-KONJ(XY Q)))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt)))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(NX-OA-apm(PIDAT-apm viele)(NN-apm Punkte))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Für Y , Ö und Q gibt es viele Punkte .;Für Y , Ö und Q gibt es viele Punkte .;Für Y , Ö und Q gibt es viele Punkte .;;
20;"(s100504_VROOT(SIMPX(VF-3s(NX-ON-nsn(PPOSAT-nsn Sein)($LPar "")(NN-nsn Ahhh)($. !)($RPar "")))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis beendet)))(MF(ADVX(ADV dann))(NX-OA(NX-KONJ-asm(NN-asm Traum))(KON und)(NX-KONJ-asm(NN-asm Film)))))($. .))";1;0;0;0;0;1;0;k;NP Koord OA;"Sein "" Ahhh ! "" beendet dann Traum und Film .";"Sein "" Ahhh ! "" beendet dann Traum und Film .";"Sein "" Ahhh ! "" beendet dann Traum und Film .";;
21;(s102593_VROOT(SIMPXINT(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis bedeutet)))(MF(ADVX(ADV aber))(ADVX(PTKNEG nicht))(NX-OA(NX-KONJ-asf(NN-asf Dachbegrünung))(KON und)(NX-KONJ-***(PIS-*** dergleichen)))))($QM ?));1;0;1;1;0;1;0;fg/k;NP Koord OA;Das bedeutet aber nicht Dachbegrünung und dergleichen ?;Das bedeutet aber nicht Dachbegrünung und dergleichen ?;Das bedeutet aber nicht Dachbegrünung und dergleichen ?;;
22;(s103864_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsm(NN-nsm Kebap)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gilt))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsm(NN-nsm Döner)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gilt)))(MF(ADVX(PTKNEG nicht)))))($. .));1;0;0;0;0;0;1;-;Satz Koord;Kebap gilt , Döner gilt nicht .;Kebap gilt , Döner gilt nicht .;Kebap gilt , Döner gilt nicht .;;
23;(s103533_VROOT(SIMPX(VF-3s(NX-ON(NX-KONJ-nsn(NN-nsn Podium))($, ,)(NX-KONJ-nsn(NN-nsn Publikum))(KON und)(NX-KONJ-nsf(NN-nsf Pressemeute))))(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis verlassen)))(MF(NX-OA-asf(ART-asf die)(NN-asf Halle))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Podium , Publikum und Pressemeute verlassen die Halle .;Podium , Publikum und Pressemeute verlassen die Halle .;Podium , Publikum und Pressemeute verlassen die Halle .;;
24;(s99781_VROOT(SIMPX(VF(ADJX(ADVX(ADV So))(ADJD pietätlos)))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MF-3s(NX-ON(NX-KONJ-nsm(NE-nsm Frank)(NE-nsm Stauch))(KON und)(NX-KONJ-nsm(NE-nsm Mathias)(NE-nsm Krohn)))(ADVX(PTKNEG nicht))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;So pietätlos sind Frank Stauch und Mathias Krohn nicht .;So pietätlos sind Frank Stauch und Mathias Krohn nicht .;So pietätlos sind Frank Stauch und Mathias Krohn nicht .;;
