Sent_no;Original sentence;Comments;Canonical form;gold2 (LCO);General order of re-inspection;FCR;Gapping;FG;BCR;SGF;Sentence Length
s35038;Wenn es heißt , daß in der liberalisierten , international integrierten Ökonomie auf einzelstaatlicher Ebene kein Handlungsspielraum mehr vorhanden sei und jede Forderung nach demokratischer Regulierung der Marktwirtschaft unrealistisch und utopisch sei , so wird umgekehrt ein Schuh daraus . ; bcr sei not realized;Wenn es heißt , daß in der liberalisierten , international integrierten Ökonomie auf einzelstaatlicher Ebene kein Handlungsspielraum mehr vorhanden sei und daß_f jede Forderung nach demokratischer Regulierung der Marktwirtschaft unrealistisch und utopisch sei , so wird umgekehrt ein Schuh daraus . ;Wenn es heißt , daß in der liberalisierten , international integrierten Ökonomie auf einzelstaatlicher Ebene kein Handlungsspielraum mehr vorhanden sei und jede Forderung nach demokratischer Regulierung der Marktwirtschaft unrealistisch und utopisch sei , so wird umgekehrt ein Schuh daraus . ;interesting/edge case;1;0;0;0;0;40
s1034;Dies kündigten die stellvertretende Vorsitzende des Deutschen Gewerkschaftsbundes ( DGB ) , Ursula Engelen-Kefer im `` Mitteldeutschen Express '' ( Halle ) und der Zweite IG-Metall-Vorsitzende Klaus Zwickel im Berliner Sender Rias an . ;" plural ""kündigten"" is syntactically not ok???";Dies kündigten die stellvertretende Vorsitzende des Deutschen Gewerkschaftsbundes ( DGB ) , Ursula Engelen-Kefer im `` Mitteldeutschen Express '' ( Halle ) an_b und  dies_fg kündigt_fg der Zweite IG-Metall-Vorsitzende Klaus Zwickel im Berliner Sender Rias an . ;Dies kündigten die stellvertretende Vorsitzende des Deutschen Gewerkschaftsbundes ( DGB ) , Ursula Engelen-Kefer im `` Mitteldeutschen Express '' ( Halle ) an_b und  dies_fg kündigten_fg der Zweite IG-Metall-Vorsitzende Klaus Zwickel im Berliner Sender Rias an . ;interesting/edge case;0;0;1;1;0;34
s283;Auf der unteren Ebene des Kantons Sankt-Gallen und des Bundeslandes Vorarlberg legen sich Landamtmann Karl Mätzler für schweizerische und Landeshauptmann Martin Purtscher für österreichische Interessen ins Zeug . ;" plural ""legen"" is syntactically not ok???";Auf der unteren Ebene des Kantons Sankt-Gallen und des Bundeslandes Vorarlberg legen sich Landamtmann Karl Mätzler für schweizerische Interessen_b ins_b Zeug_b und auf_fg der_fg unteren_fg Ebene_fg des_fg Kantons_fg Sankt-Gallen_fg und_fg des_fg Bundeslandes_fg Vorarlberg_fg legt_fg sich_fg Landeshauptmann Martin Purtscher für österreichische Interessen ins Zeug . ;Auf der unteren Ebene des Kantons Sankt-Gallen und des Bundeslandes Vorarlberg legen sich Landamtmann Karl Mätzler für schweizerische Interessen_b ins_b Zeug_b und auf_fg der_fg unteren_fg Ebene_fg des_fg Kantons_fg Sankt-Gallen_fg und_fg des_fg Bundeslandes_fg Vorarlberg_fg legen_fg sich_fg Landeshauptmann Martin Purtscher für österreichische Interessen ins Zeug . ;interesting/edge case;0;0;1;1;0;28
s8462;Ob sie diesen Schritt vor der nächsten Landtagswahl in drei Jahren tun oder danach , ob sie einen SPD-Ministerpräsidenten von den Postsozialisten tolerieren lassen oder zum Chef einer ersten SPD/PDS-Koalition machen wollen , steht noch in den Sternen . ;"""lassen"" not bcred in TIGER; ob could be fcred; gold3 for bcr of steht in ...";Ob sie diesen Schritt vor der nächsten Landtagswahl in drei Jahren tun oder ob_g sie_g diesen_g Schritt_g danach tun_g  , ob sie einen SPD-Ministerpräsidenten von den Postsozialisten tolerieren lassen oder ob_f sie_f einen_f SPD-Ministerpräsidenten_f von_f den_f Postsozialisten_f zum Chef einer ersten SPD/PDS-Koalition machen wollen , steht noch in den Sternen . ;Ob sie diesen Schritt vor der nächsten Landtagswahl in drei Jahren tun oder ob_g sie_g diesen_g Schritt_g danach tun_g  , ob sie einen SPD-Ministerpräsidenten von den Postsozialisten tolerieren lassen wollen_b oder ob_f sie_f einen_f SPD-Ministerpräsidenten_f von_f den_f Postsozialisten_f zum Chef einer ersten SPD/PDS-Koalition machen wollen , steht noch in den Sternen . ;interesting/edge case: ambiguous bcr;1;1;0;0;0;39
s35005;Stets sind seine Augen gesenkt , nie lacht er oder verzieht den Mund zu einem Lächeln . ;"""nie"" has to be fcred!!!";Stets sind seine Augen gesenkt , nie lacht er oder er_s verzieht den Mund zu einem Lächeln . ;;interesting/edge case;0;0;0;0;0;17
s26205;Stets sind seine Augen gesenkt , nie lacht er oder verzieht den Mund zu einem Lächeln . ;"""Nie"" should be FCRed; however not allowed for SGF???";Stets sind seine Augen gesenkt , nie lacht er oder er_s verzieht den Mund zu einem Lächeln . ;;interesting/edge case;0;0;0;0;1;17
s17706;In Zahlen : Diese Reallohnelastizität , das heißt die Veränderung der Arbeitsnachfrage als Folge der Veränderung des Lohnsatzes liegt bei -1,5 zu -0,2 in West- und -2,8 zu -0,6 in Ostdeutschland . ;Achtung: cut into const oder gar kein CCE???;In Zahlen : Diese Reallohnelastizität , das heißt die Veränderung der Arbeitsnachfrage als Folge der Veränderung des Lohnsatzes liegt bei -1,5 zu -0,2 in West- und diese_fg Reallohnelastizität_fg ,_fg das_fg heißt_fg die_fg Veränderung_fg der_fg Arbeitsnachfrage_fg als_fg Folge_fg der_fg Veränderung_fg des_fg Lohnsatzes_fg liegt_fg bei_fg  -2,8 zu -0,6 in Ostdeutschland . ;;interesting/edge case;0;0;1;0;0;33
s37904;Später habe die Gewerkschaft jedoch `` permanent Führungsmängel beklagt '' und kritisiert , daß die einzelnen Firmen nie zu einem funktionierenden Verbund zusammengefügt worden seien . ;Ambiguous SGF or FG?;Später habe die Gewerkschaft jedoch `` permanent Führungsmängel beklagt '' und die_s Gewerkschaft_s kritisiert , daß die einzelnen Firmen nie zu einem funktionierenden Verbund zusammengefügt worden seien . ;Später habe die Gewerkschaft jedoch `` permanent Führungsmängel beklagt '' und später_fg habe_fg die_fg Gewerkschaft_fg kritisiert , daß die einzelnen Firmen nie zu einem funktionierenden Verbund zusammengefügt worden seien . ;interesting/edge case;0;0;0;0;1;26
s48792;`` Man tut das eine und läßt das andere nicht '' , faßte Bundesaußenminister Klaus Kinkel ( FDP ) den Kompromiß zusammen , `` das war die interessanteste und offenste Diskussion über Menschenrechte , die ich in diesem Kreis erlebt habe . '' ;Ambiguous: bcr of nicht???;`` Man tut das eine und man_f läßt das andere nicht '' , faßte Bundesaußenminister Klaus Kinkel ( FDP ) den Kompromiß zusammen , `` das war die interessanteste und offenste Diskussion über Menschenrechte , die ich in diesem Kreis erlebt habe . '' ;`` Man tut das eine nicht_b und man_f läßt das andere nicht '' , faßte Bundesaußenminister Klaus Kinkel ( FDP ) den Kompromiß zusammen , `` das war die interessanteste und offenste Diskussion über Menschenrechte , die ich in diesem Kreis erlebt habe . '' ;interesting/edge case;1;0;0;0;0;43
s44162;3. Welche Gruppen von Steuerzahlern sollen be- und welche entlastet werden ? ;bcr below word level;3. Welche Gruppen von Steuerzahlern sollen be- lastet_b werden_b und welche sollen_g entlastet werden ? ;;interesting/edge case;0;1;0;1;0;12
